client_id,nps_score,response_time_hrs,escalations,satisfied
1,37,454.89,405.9,1
2,32,133.47,454.64,1
3,57,444.33,317.48,1
4,85,259.18,105.82,0
5,35,494.19,132.09,1
6,91,321.6,433.33,1
7,80,20.94,474.8,0
8,91,396.82,27.78,0
9,37,373.33,106.35,0
10,58,155.37,218.92,0
11,28,223.01,230.26,0
12,64,62.65,300.73,0
13,44,189.3,387.35,1
14,42,128.19,367.73,0
15,89,336.31,470.19,1
16,61,410.4,175.96,1
17,91,75.05,188.62,0
18,43,116.71,199.47,0
19,65,259.22,223.75,0
20,57,296.77,175.88,0
21,74,287.85,81.01,0
22,43,356.78,103.15,0
23,68,319.42,61.13,0
24,33,136.04,285.91,0
25,25,230.78,243.62,0
26,91,372.87,229.41,1
27,84,70.77,344.92,0
28,90,255.03,174.26,0
29,90,425.47,455.71,1
30,21,248.51,467.16,1
31,60,152.07,492.94,1
32,40,100.49,314.78,0
33,79,87.42,499.48,1
34,91,457.63,306.84,1
35,47,489.65,298.8,1
36,67,415.2,162.65,1
37,70,89.76,453.65,1
38,65,298.82,473.23,1
39,57,385.27,116.88,0
40,29,198.45,70.24,0
41,68,155.77,486.37,1
42,77,146.63,326.39,0
43,49,335.79,375.2,1
44,69,248.07,308.46,1
45,26,204.86,177.69,0
46,34,87.53,483.46,1
47,50,479.74,107.36,1
48,82,154.87,251.48,0
49,83,294.98,314.07,1
50,27,418.12,401.75,1
51,62,499.13,465.76,1
52,20,353.99,497.9,1
53,87,124.34,381.3,0
54,45,411.42,488.42,1
55,84,300.28,265.99,1
56,85,30.31,471.11,0
57,57,31.84,458.02,0
58,55,100.18,180.23,0
59,84,271.08,201.01,0
60,43,154.75,166.66,0
61,27,230.83,185.61,0
62,94,349.21,481.67,1
63,21,203.43,331.34,0
64,71,70.94,125.41,0
65,60,354.03,233.81,1
66,77,253.94,46.2,0
67,24,403.5,402.6,1
68,58,218.6,19.49,0
69,30,478.2,247.34,1
70,88,341.6,399.08,1
71,63,314.51,430.98,1
72,75,246.63,204.54,0
73,67,178.07,300.65,0
74,72,379.83,381.56,1
75,52,426.86,368.09,1
76,54,324.61,13.48,0
77,51,233.15,23.26,0
78,39,172.66,428.98,1
79,85,121.3,184.27,0
80,38,395.89,34.25,0
81,69,222.87,451.21,1
82,69,357.79,344.44,1
83,56,34.16,31.36,0
84,58,196.28,184.71,0
85,37,243.66,298.69,0
86,34,144.74,453.31,1
87,46,238.37,298.97,0
88,53,76.61,96.33,0
89,57,286.42,331.4,1
90,20,239.14,75.98,0
91,78,298.98,148.02,0
92,89,250.59,454.21,1
93,34,128.94,101.4,0
94,52,64.73,243.81,0
95,49,425.26,36.28,0
96,38,147.06,493.21,1
97,88,406.18,193.36,1
98,76,70.78,258.34,0
99,83,196.07,305.79,0
100,63,243.95,352.13,1
101,81,113.22,429.11,1
102,39,411.5,87.04,0
103,36,340.35,413.54,1
104,84,416.17,454.66,1
105,78,22.86,82.11,0
106,46,434.0,465.24,1
107,50,88.39,139.19,0
108,38,350.31,223.45,1
109,48,347.65,316.5,1
110,21,150.57,465.54,1
111,88,111.91,190.4,0
112,53,310.87,191.03,0
113,78,202.39,461.6,1
114,66,285.73,402.62,1
115,24,246.67,470.53,1
116,38,312.38,169.08,0
117,66,109.54,194.85,0
118,22,207.62,160.02,0
119,69,258.38,70.42,0
120,64,134.24,243.81,0
121,25,485.53,475.62,1
122,35,366.14,63.57,0
123,59,38.36,300.84,0
124,76,437.84,259.17,1
125,44,479.64,369.53,1
126,45,76.72,94.56,0
127,89,196.8,368.71,1
128,20,77.42,386.46,0
129,27,433.17,247.08,1
130,62,12.59,297.2,0
131,69,29.02,298.32,0
132,82,319.29,271.89,1
133,66,400.08,358.37,1
134,25,329.45,261.23,1
135,34,482.65,89.97,1
136,38,476.04,420.36,1
137,34,133.5,137.38,0
138,89,408.26,41.76,0
139,54,422.35,371.72,1
140,72,462.45,30.56,0
141,59,32.41,409.85,0
142,51,481.71,334.79,1
143,92,454.44,121.23,1
144,23,435.46,373.37,1
145,94,25.27,81.19,0
146,94,296.51,173.58,0
147,76,344.81,168.3,0
148,63,454.42,72.38,0
149,83,39.42,138.11,0
150,28,209.78,381.34,1
151,88,221.95,437.09,1
152,85,237.65,302.0,1
153,80,454.85,265.65,1
154,90,474.27,168.1,1
155,70,280.64,487.41,1
156,93,109.95,111.04,0
157,46,495.96,403.61,1
158,77,190.67,316.22,0
159,27,64.32,413.74,0
160,65,50.42,211.1,0
161,23,108.97,284.36,0
162,91,387.12,415.19,1
163,42,285.68,133.81,0
164,86,83.95,335.46,0
165,55,295.84,222.08,0
166,21,474.62,207.26,1
167,46,143.3,205.95,0
168,44,427.34,267.88,1
169,23,349.49,240.4,1
170,88,114.4,290.78,0
171,68,242.6,323.68,1
172,76,361.1,83.0,0
173,83,282.82,73.77,0
174,70,433.8,71.18,0
175,84,407.02,177.77,1
176,88,208.18,176.58,0
177,48,69.28,75.07,0
178,51,367.53,63.97,0
179,61,392.32,123.03,0
180,92,299.33,142.63,0
181,45,308.3,118.75,0
182,44,487.25,145.56,1
183,39,34.38,170.33,0
184,55,35.55,370.54,0
185,24,244.57,379.56,1
186,76,68.15,161.11,0
187,42,477.57,83.3,1
188,21,165.05,136.46,0
189,54,485.99,350.63,1
190,54,383.03,52.23,0
191,37,248.23,408.08,1
192,55,143.39,20.9,0
193,60,338.75,208.51,1
194,26,229.36,250.02,0
195,73,150.34,43.18,0
196,33,287.94,260.44,0
197,35,429.93,186.14,1
198,65,364.18,39.43,0
199,75,275.56,332.34,1
200,82,251.16,494.95,1
201,25,316.26,421.32,1
202,72,316.86,254.61,1
203,71,121.6,124.34,0
204,51,112.13,289.32,0
205,34,96.36,236.64,0
206,42,35.2,496.92,0
207,57,333.2,317.95,1
208,91,95.12,477.0,1
209,85,192.03,79.72,0
210,33,486.46,450.24,1
211,61,282.31,227.86,0
212,43,53.29,23.93,0
213,29,83.73,344.24,0
214,20,316.85,54.15,0
215,92,385.0,474.67,1
216,67,113.11,375.82,0
217,88,361.68,287.64,1
218,75,478.98,319.19,1
219,60,394.57,462.97,1
220,60,18.26,434.86,0
221,34,50.42,43.24,0
222,37,316.49,78.15,0
223,78,167.2,107.43,0
224,61,357.73,62.25,0
225,79,371.27,287.7,1
226,60,42.14,47.98,0
227,27,256.67,363.45,1
228,85,413.88,274.06,1
229,37,335.78,251.31,1
230,61,306.83,229.64,1
231,62,33.26,320.08,0
232,63,151.42,113.89,0
233,70,141.43,417.0,1
234,55,335.09,226.31,1
235,33,366.83,102.03,0
236,71,399.39,318.89,1
237,50,478.12,173.78,1
238,26,20.56,420.5,0
239,90,168.73,142.88,0
240,90,314.45,16.16,0
241,85,257.27,176.96,0
242,74,359.4,174.09,1
243,57,487.02,276.03,1
244,30,497.26,278.71,1
245,89,170.88,469.25,1
246,70,327.28,199.8,1
247,93,249.09,267.62,1
248,82,303.88,487.05,1
249,40,338.63,144.6,0
250,35,301.67,273.89,1
251,88,10.69,61.08,0
252,39,115.83,266.64,0
253,70,46.54,61.76,0
254,85,253.43,11.77,0
255,65,156.74,297.8,0
256,61,156.53,344.61,0
257,44,231.77,392.23,1
258,60,84.02,218.72,0
259,60,445.84,72.09,0
260,77,57.64,306.78,0
261,42,425.5,419.29,1
262,40,51.0,21.64,0
263,36,80.79,83.35,0
264,53,440.01,280.78,1
265,77,150.87,291.93,0
266,89,160.83,407.54,1
267,32,463.42,287.42,1
268,45,326.18,160.46,0
269,56,403.86,195.15,1
270,74,305.15,256.18,1
271,53,102.61,67.14,0
272,56,134.02,356.03,0
273,37,419.81,356.16,1
274,90,257.97,180.19,0
275,88,417.87,372.48,1
276,79,487.88,486.29,1
277,41,150.51,333.89,0
278,92,154.85,284.55,0
279,72,156.58,55.39,0
280,25,175.95,114.69,0
281,47,192.73,236.47,0
282,28,375.53,410.53,1
283,70,31.58,317.06,0
284,81,249.06,268.48,1
285,88,129.41,134.92,0
286,34,15.78,389.13,0
287,65,435.49,387.8,1
288,86,427.05,171.49,1
289,24,11.07,45.6,0
290,46,445.9,145.07,1
291,70,374.89,162.23,1
