project_id,department,manager_experience_years,team_size,complexity_score,planned_duration_months,actual_duration_months,planned_budget_k,actual_budget_k,satisfaction_score
PRJ0001,HR,7,20,3,17,18,441.84,616.39,3.45
PRJ0002,Marketing,4,15,5,4,6,250.39,303.3,1.5
PRJ0003,HR,13,9,5,11,11,281.67,215.51,7.45
PRJ0004,IT,15,6,5,6,4,211.66,224.73,10.0
PRJ0005,Finance,11,15,3,6,7,316.83,418.76,2.39
PRJ0006,Finance,8,3,10,9,11,123.59,141.33,4.58
PRJ0007,Marketing,13,10,4,16,14,225.99,248.43,6.55
PRJ0008,Research,5,16,9,11,9,486.24,576.21,7.55
PRJ0009,Marketing,7,18,10,16,14,166.16,158.96,10.0
PRJ0010,Research,10,16,9,18,16,345.53,387.59,5.98
PRJ0011,Research,3,14,2,12,12,196.34,198.78,9.0
PRJ0012,Finance,7,17,8,12,15,398.06,416.79,4.76
PRJ0013,Marketing,11,4,8,7,7,108.89,127.87,6.74
PRJ0014,HR,11,4,7,17,17,486.42,443.13,9.55
PRJ0015,Research,8,19,8,8,10,254.21,316.03,3.51
PRJ0016,Operations,5,12,3,5,7,156.22,154.12,3.27
PRJ0017,Operations,4,8,6,14,17,83.07,90.47,4.6
PRJ0018,HR,8,17,1,12,14,126.39,106.16,6.47
PRJ0019,Operations,8,13,7,11,10,283.9,328.75,7.82
PRJ0020,IT,3,7,1,6,9,201.65,255.49,2.03
PRJ0021,Research,6,3,9,14,16,423.0,411.5,5.02
PRJ0022,HR,5,10,1,15,18,243.9,215.48,6.4
PRJ0023,Marketing,2,14,1,16,16,161.92,176.77,6.9
PRJ0024,Research,8,14,7,12,12,327.72,415.62,5.49
PRJ0025,HR,12,7,2,6,9,368.05,306.41,5.55
PRJ0026,Finance,14,9,5,12,11,125.17,110.66,9.84
PRJ0027,Marketing,6,6,8,5,4,125.43,123.16,9.87
PRJ0028,Finance,2,8,8,15,18,66.5,61.64,7.83
